HTNO,subject_code,subject_name,internal,external,total,grade,credits
22Q91A6601,18101,APPLIED PHYSICS LABORATORY,37,48,85,A+,1.5
22Q91A6601,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,46,0,46,O,1.0
22Q91A6601,18114,ENGINEERING WORKSHOP,38,41,79,A,2.5
22Q91A6601,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,38,49,87,A+,1.0
22Q91A6601,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,35,57,92,O,1.0
22Q91A6601,18120,ENVIRONMENTAL SCIENCE,90,0,90,O,0.0
22Q91A6601,181AA,APPLIED PHYSICS,38,21,59,B,4.0
22Q91A6601,181AK,ENGLISH FOR SKILL ENHANCEMENT,31,28,59,B,2.0
22Q91A6601,181AN,MATRICES AND CALCULUS,31,21,52,B,4.0
22Q91A6601,181AP,PROGRAMMING FOR PROBLEM SOLVING,34,26,60,B+,3.0
22Q91A6602,181AP,PROGRAMMING FOR PROBLEM SOLVING,37,26,63,B+,3.0
22Q91A6602,181AN,MATRICES AND CALCULUS,33,21,54,B,4.0
22Q91A6602,181AK,ENGLISH FOR SKILL ENHANCEMENT,31,27,58,B,2.0
22Q91A6602,181AA,APPLIED PHYSICS,34,21,55,B,4.0
22Q91A6602,18120,ENVIRONMENTAL SCIENCE,89,0,89,A+,0.0
22Q91A6602,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,39,59,98,O,1.0
22Q91A6602,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,58,98,O,1.0
22Q91A6602,18114,ENGINEERING WORKSHOP,38,40,78,A,2.5
22Q91A6602,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,49,0,49,O,1.0
22Q91A6602,18101,APPLIED PHYSICS LABORATORY,40,56,96,O,1.5
22Q91A6603,18101,APPLIED PHYSICS LABORATORY,38,57,95,O,1.5
22Q91A6603,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,48,0,48,O,1.0
22Q91A6603,18114,ENGINEERING WORKSHOP,37,37,74,A,2.5
22Q91A6603,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,55,95,O,1.0
22Q91A6603,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,37,56,93,O,1.0
22Q91A6603,18120,ENVIRONMENTAL SCIENCE,92,0,92,O,0.0
22Q91A6603,181AA,APPLIED PHYSICS,28,24,52,B,4.0
22Q91A6603,181AK,ENGLISH FOR SKILL ENHANCEMENT,35,25,60,B+,2.0
22Q91A6603,181AN,MATRICES AND CALCULUS,33,23,56,B,4.0
22Q91A6603,181AP,PROGRAMMING FOR PROBLEM SOLVING,36,26,62,B+,3.0
22Q91A6604,181AP,PROGRAMMING FOR PROBLEM SOLVING,31,10,41,F,0.0
22Q91A6604,181AN,MATRICES AND CALCULUS,27,21,48,C,4.0
22Q91A6604,181AK,ENGLISH FOR SKILL ENHANCEMENT,25,22,47,C,2.0
22Q91A6604,181AA,APPLIED PHYSICS,23,0,23,F,0.0
22Q91A6604,18120,ENVIRONMENTAL SCIENCE,91,0,91,O,0.0
22Q91A6604,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,35,53,88,A+,1.0
22Q91A6604,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,35,56,91,O,1.0
22Q91A6604,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,48,0,48,O,1.0
22Q91A6604,18101,APPLIED PHYSICS LABORATORY,36,52,88,A+,1.5
22Q91A6605,18101,APPLIED PHYSICS LABORATORY,40,56,96,O,1.5
22Q91A6605,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,50,0,50,O,1.0
22Q91A6605,18114,ENGINEERING WORKSHOP,39,43,82,A+,2.5
22Q91A6605,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,38,58,96,O,1.0
22Q91A6605,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,40,60,100,O,1.0
22Q91A6605,18120,ENVIRONMENTAL SCIENCE,91,0,91,O,0.0
22Q91A6605,181AA,APPLIED PHYSICS,39,32,71,A,4.0
22Q91A6605,181AK,ENGLISH FOR SKILL ENHANCEMENT,33,29,62,B+,2.0
22Q91A6605,181AN,MATRICES AND CALCULUS,40,30,70,A,4.0
22Q91A6605,181AP,PROGRAMMING FOR PROBLEM SOLVING,40,30,70,A,3.0
22Q91A6606,18101,APPLIED PHYSICS LABORATORY,37,52,89,A+,1.5
22Q91A6606,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,50,0,50,O,1.0
22Q91A6606,18114,ENGINEERING WORKSHOP,39,43,82,A+,2.5
22Q91A6606,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,58,98,O,1.0
22Q91A6606,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,40,56,96,O,1.0
22Q91A6606,18120,ENVIRONMENTAL SCIENCE,94,0,94,O,0.0
22Q91A6606,181AA,APPLIED PHYSICS,37,30,67,B+,4.0
22Q91A6606,181AK,ENGLISH FOR SKILL ENHANCEMENT,35,32,67,B+,2.0
22Q91A6606,181AN,MATRICES AND CALCULUS,35,21,56,B,4.0
22Q91A6606,181AP,PROGRAMMING FOR PROBLEM SOLVING,40,31,71,A,3.0
22Q91A6607,18101,APPLIED PHYSICS LABORATORY,38,53,91,O,1.5
22Q91A6607,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,50,0,50,O,1.0
22Q91A6607,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,35,58,93,O,1.0
22Q91A6607,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,39,55,94,O,1.0
22Q91A6607,18120,ENVIRONMENTAL SCIENCE,93,0,93,O,0.0
22Q91A6607,181AA,APPLIED PHYSICS,21,0,21,F,0.0
22Q91A6607,181AK,ENGLISH FOR SKILL ENHANCEMENT,18,27,45,C,2.0
22Q91A6607,181AN,MATRICES AND CALCULUS,21,21,42,C,4.0
22Q91A6607,181AP,PROGRAMMING FOR PROBLEM SOLVING,34,2,36,F,0.0
22Q91A6608,18101,APPLIED PHYSICS LABORATORY,38,50,88,A+,1.5
22Q91A6608,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,42,0,42,A+,1.0
22Q91A6608,18114,ENGINEERING WORKSHOP,34,34,68,B+,2.5
22Q91A6608,18115,ENGLISH LANGUAGE AND COMMUNICATION SKILLS LABORATORY,40,55,95,O,1.0
22Q91A6608,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,36,56,92,O,1.0
22Q91A6608,18120,ENVIRONMENTAL SCIENCE,79,0,79,A,0.0
22Q91A6608,181AA,APPLIED PHYSICS,32,5,37,F,0.0
22Q91A6608,181AK,ENGLISH FOR SKILL ENHANCEMENT,20,27,47,C,2.0
22Q91A6608,181AN,MATRICES AND CALCULUS,31,21,52,B,4.0
22Q91A6608,181AP,PROGRAMMING FOR PROBLEM SOLVING,35,21,56,B,3.0
